1950's,,,,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,When Read,Score,,decade
,,,,,,,,,,,
,"Asimov, Isaac","I, Robot",1950,Robot 1,,,,,8,,0.68
,"Bradbury, Ray",The Martian Chronicles,1950,ss,,,,,10,,
,"Clement, Hal",Needle,1950,,,,lib,Feb-19,5,,
,"Heinlein, Robert A.",The Man Who Sold the Moon,1950,,,,PDX BOX,,0,,
,"Merril, Judith",Shadow on the Hearth,1950,,,,BOX 25,,,,
,"Smith, E.E.",Galactic Patrol,1950,,,,,,,,
,"Sturgeon, Theodore",The Dreaming Jewels,1950,,,,lib,Sep-19,8,,
,"van Vogt, A.E.",The Voyage of the Space Beagle,1950,ss,,,,,7,,
,"Vance, Jack",The Dying Earth,1950,,,,,,8,,
,,,,,,,,,,,
,"Asimov, Isaac",Foundation,1951,Found 1,,,,,9,,
,"Bradbury, Ray",The Illustrated Man,1951,,,,,,8,,
,"Clarke, Arthur C.",Prelude to Space,1951,,,,,,3,,
,"de Camp, L. Sprague",Rogue Queen,1951,,,,,,6,,
,"Heinlein, Robert A.",The Puppet Masters,1951,,,,,,8,,
,"Russell, Eric Frank",Dreadful Sanctuary,1951,,,,,,7,,
,"Smith, E.E.",Gray Lensman,1951,,,,,,,,
,"van Vogt, A.E.",The Weapon Shops of Isher,1951,Ish 1,,,,,5,,
,"Wylie, Philip",The Disappearance,1951,,,,EGGO 4,,,,
,"Wyndham, John",The Day of the Triffids,1951,,,,,,5,,
,,,,,,,,,,,
,"Asimov, Isaac",Foundation and Empire,1952,Found 2,,,,,8,,
,"Blish, James",Jack of Eagles,1952,,,,,,4,,
,"Jones, Raymond F.",This Island Earth,1952,,,,kindle,,,,
,Kornbluth. C.M.,Takeoff,1952,,,,,,4,,
,"Moore, C.L.",Judgement Night,1952,,,,BOB 9,,,,
,Sarban,The Sound of his Horn,1952,,,,,,10,,
,"Simak, Clifford D.",City,1952,,,,,,6,,
,"van Vogt, A.E.",Destination: Universe,1952,,,,,,0,,
,"Vonnegut, Kurt",Player Piano,1952,,,,,,5,,
,"Wolfe, Bernard",Limbo,1952,,,,,,7,,
,,,,,,,,,,,
,"Asimov, Isaac",Second Foundation,1953,Found 3,,,,,7,,
,"Bester, Alfred",The Demolished Man,1953,,,,EGGO 2,Apr-17,7,,
,"Bradbury, Ray",Fahrenheit 451,1953,,,,,,7,,
,"Clarke, Arthur C.",Childhood's End,1953,,,,,,8,,
,"Heinlein, Robert C.",Starman Jones,1953,,,,lib,Sep-19,8,,
,Pohl & Kornbluth,The Space Merchants,1953,,,,,,7,,
,"Moore, Ward",Bring the Jubilee,1953,,,,,,8,,
,"Simak, Clifford B.",Ring Around the Sun,1953,,,,,,7,,
,"Sturgeon, Theodore",More than Human,1953,,,,,,10,,
,"Wyndham, John",The Kraken Awakes,1953,,,,lib,,,,
,,,,,,,,,,,
,"Anderson, Poul",Brain Wave,1954,,,,,,6,,
,"Asimov, Isaac",The Caves of Steel,1954,Robot 2,,,SA BOX,Aug-19,7,,
,"Clement, Hal",Mission of Gravity,1954,,,,,,5,,
,"Golding, William",Lord of the Flies,1954,,,,,,8,,
,"Oliver, Chad",Shadows in the Sun,1954,,,,BOB 5,,,,
,"Sheckley, Robert",Untouched by Human Hands,1954,ss,,,,,8,,
,"Smith, E.E.",Children of the Lens,1954,,,,,,,,
,"Vidal, Gore",Messiah,1954,,,,,,4,,
,,,,,,,,,,,
,"Blish, James","Earthman, Come Home",1955,CiF 3,,,BOX X,,,,
,"Brackett, Leigh",The Big Jump,1955,,,,BOX 4,,0,,
,"Dick, Philip K.",Solar Lottery,1955,,,,,,6,,
,"Golding, William",The Inheritors,1955,,,,EGGO 1,,,,
,"Knight, Damon",Hell's Pavement,1955,,,,BOB X,,,,
,"Kornbluth, C.M.",Not this August,1955,,,,CUBE 1,,,,
,"Norton, Andre",Sargasso of Space,1955,,,,ZIP BOX 1,,,,
,"Wyndham, John",The Chrysalids,1955,,,,ZIP BOX 1,,,,
,,,,,,,,,,,
,"Bester, Alfred",The Stars my Destination,1956,,,,EGGO 2,Feb-17,9,,
,"Christopher, John",The Death of Grass,1956,,,,ASU,,8,,
,"del Rey, Lester",Nerves,1956,,,,BOX 5,Apr-17,6,,
,"Dick, Philip K.",The Man who Japed,1956,,,,,,4,,
,"Heinlein, Robert A.",Double Star,1956,,,,,,8,,
,"St. Clair, Margaret",Agent of the Unknown,1956,,,,,,,,
,"Vance, Jack",To Live Forever,1956,,,,,,8,,
,,,,,,,,,,,
,"Clifton, Mark & Riley",They'd Rather be Right,1957,,,,ZIP BOX 1,,,,
,"Dick, Philip K.",The Cosmic Puppets,1957,,,,,,6,,
,"Dick, Philip K.",The World Jones Made,1957,,,,PKD BOX,Jun-21,7,,
,"Farmer, Philip Jose",The Green Odyessy,1957,,,,,,7,,
,"Hoyle, Fred",The Black Cloud,1957,,,,BOX 23,,,,
,"Moore, C.L.",Doomsday Morning,1957,,,,BOB 9,,,,
,"Pohl, Frederik",Slave Ship,1957,,,,BOB XI,,,,
,"Shute, Nevil",On the Beach,1957,,,,BOB XII,,,,
,"Vance, Jack",Big Planet,1957,,,,,,8,,
,"Wul, Stefan",Niourk,1957,,,,,,,,
,,,,,,,,,,,
,"Aldiss, Brian",Non-Stop,1958,,,,,,8,,
,"Anderson, Poul",The Enemy Stars,1958,,sf rum,Jul-13,BOX 15,Dec-16,7,,
,"Blish, James",A Case of Conscience,1958,,,,,,6,,
,"Budrys, Algis",Who?,1958,,,,BOX 1,,8,,
,"Russell, Eric Frank",The Spave Willies,1958,,,,,,,,
,"Sheckley, Robert","Immortality, Inc.",1958,,,,BOX 2,May-21,7,,
,"Sturgeon, Theodore",The Cosmic Rape,1958,,,,BOB X,,,,
,"Yefremov, Ivan",Andromeda,1958,,,,CUBE 2,,,,
,,,,,,,,,,,
,"Abe, Kobo",Inter Ice Age 4,1959,,,,,,8,,
,"Budrys, Algis",The Falling Torch,1959,,,,BOX 1,,6,,
,"Leinster, Murray",The Pirates of Zan,1959,,,,BOB 7,,,,
,"Heinlein, Robert A.",Starship Troopers,1959,,,,,,9,,
,"Kneale, Nigel",The Quartermass Experiment,1959,,,,,,,,
,"Kornbluth, C.M.",The Marching Morons,1959,ss,,,EGGO 4,,,,
,"Lem, Stanislaw",Eden,1959,,,,ASU,,8,,
,"Miller, Walter M. Jr.",A Canticle for Leibowitz,1959,,,,,,9,,
,"Roshwald, Mordecai",Level Seven,1959,,,,BOB 3,Jun-17,8,,
,"Strugatski, A & B",The Country of Crimson Clouds,1959,,,,,,,,
,"Vonnegut, Kurt",The Sirens of Titan,1959,,,,BOX K,Mar-20,7,,
,,,,,,,,,,,
1960's,,,,,,,,,,,
,"Amis, Kingsley",New Maps of Hell,1960,,,,,,7,,0.67
,"Budrys, Algis",Rogue Moon,1960,,,,,,5,,
,"Dickson, Gordon R.",The Genetic General,1960,,,,,,6,,
,"Farmer, Philip Jose",Flesh,1960,,,,,,7,,
,"Hartley, L.P.",Facial Justice,1960,,,,?,,,,
,"Hersey, John",The Child Buyer,1960,,,,BOB 7,,,,
,"Nathan, Robert",The Weans,1960,,,,,,5,,
,"Pohl, Frederik",Drunkard's Walk,1960,,,,BOX 5,May-17,5,,
,"Sheckley, Robert",The Status Civilization,1960,,,,BOB 1,,8,,
,"Sturgeon, Theodore",Venus Plus X,1960,,,,BOB X,,,,
,,,,,,,,,,,
,"Farmer, Philip Jose",The Lovers,1961,,,,,,7,,
,"Galouye, Daniel F.",Dark Universe,1961,,,,,,7,,
,"Harrison, Harry",The Stainless Steel Rat,1961,,,,BOB 6,,,,
,"Heinlein, Robert A.",Stranger in a Strange Land,1961,,,,,,7,,
,"Leiber, Fritz",The Big Time,1961,,,,BOX 4,Jul-17,6,,
,"Lem, Stanislaw",Solaris,1961,,,,,,8,,
,"Sturgeon, Theodore",Some of Your Blood,1961,,,,BOB X,,,,
,"Wilson, Angus",The Old Men at the Zoo,1961,,,,ASU,,8,,
,,,,,,,,,,,
,"Aldiss, Brian",Hothouse,1962,,,,BOX X,,9,,
,"Ballard, J.G.",The Drowned World,1962,,,,,,8,,
,"Burgess, Anthony",A Clockwork Orange,1962,,,,,,7,,
,"Delany, Samuel R.",The Jewels of Aptor,1962,,,,,,6,,
,"Curval, Phillipe",The Ebb Tide of Space,1962,,,,,,,,
,"Dick, Philip K.",The Man in the High Castle,1962,,,,PKD BOX,,9,,
,"Laumer, Keith",Worlds of the Imperium,1962,,,,BOB XII,,,,
,"L'Engle, Madeline",A Wrinkle in Time,1962,Time 1,,,,,7,,
,"Moore, Ward & A. Davidson",Joyleg,1962,,,,BOB 9,,,,
,,,,,,,,,,,
,"Laumer, Keith",A Trace of Memory,1963,,,,,,0,,
,"Norton, Andre",Witch World,1963,,,,GRN 1,Aug-17,5,,
,"Simak, Clifford D.",Way Station,1963,,,,,,10,,
,"Smith, Cordwainer",You Will Never be the Same,1963,ss,,,,,8,,
,"Santos, Domingo",Gabriel,1963,,,,,,,,
,"Tevis, Walter",The Man who Fell to Earth,1963,,,,BEER BOX,,,,
,"Vonnegut, Kurt",Cat's Cradle,1963,,,,,,7,,
,"Wilhelm, Kate",The Mile-Long Spaceship,1963,,,,,,6,,
,,,,,,,,,,,
,"Aldiss, Brian",Greybeard,1964,,,,BOX X,,9,,
,"Ballard, J.G.",The Burning World,1964,,,,,,7,,
,"Brunner, John",The Whole Man,1964,,,,BOB 6,,,,
,"Burroughs, William S.",Nova Express,1964,,,,,,,,
,"Dick, Philip K.",Martian Time-Slip,1964,,,,PKD BOX,,10,,
,"Dick, Philip K.",The Penultimate Truth,1964,,,,PKD BOX,Jul-17,7,,
,"Heinlein, Robert A.",Farnham's Freehold,1964,,,,BOB 9,,,,
,"Leiber, Fritz",The Wanderer,1964,,,,BOX 4,,,,
,"Lem, Stanislaw",The Invincible,1964,,,,kindle,,,,
,"Strugatsky, A & B",Hard to be a God,1964,,,,BOB X,,,,
,,,,,,,,,,,
,"Aldiss, Brian",Earthworks,1965,,,,BOX X,,6,,
,"Davidson, Avram",Masters of the Maze,1965,,,,BOB 7,,,,
,"Dick, Philip K.",Dr. Bloodmoney,1965,,,,PKD BOX,Jun-17,9,,
,"Garner, Alan",Elidor,1965,,,,BOB 7,,,,
,"Herbert, Frank",Dune,1965,Dune 1,,,,,8,,
,"Dick, Philip K.",The Three Stigmata of Palmer Eldritch,1965,,,,BS,,6,,
,"Laumer, Keith",A Plague of Demons,1965,,,,,,5,,
,"Lem, Stanislaw",The Cyberiad,1965,,,,,,6,,
,,,,,,,,,,,
,"Ballard, J.G.",The Crystal World,1966,,,,,,5,,
,"Barth, John",Giles Goat-Boy,1966,,,,BOX 9,,,,
,"Delany, Samuel R.",Babel-17,1966,,,,BOB 1,,7,,
,"Harrison, Harry",Make Room! Make Room!,1966,,,,,,7,,
,"Heinlein, Robert A.",The Moon is a Harsh Mistress,1966,,,,BS,Jan-17,8,,
,"Keyes, Daniel",Flowers for Algernon,1966,,,,,,7,,
,"Mayne, William",Earthfasts,1966,,,,,,,,
,"Niven, Larry",World of Ptaavs,1966,,,,BOX 4,,,,
,"White, James",The Watch Below,1966,,,,BOB 2,,7,,
,"Zelazny, Roger",This Immortal,1966,,,,,,2,,
,,,,,,,,,,,
,"Anthony, Piers",Chthon,1967,,,,,,6,,
,"Delany, Samuel R.",The Einstein Intersection,1967,,,,,,3,,
,"Kavan, Anna",Ice,1967,,,,BOB 2,,6,,
,"Saberhagen, Fred",Berserker,1967,Ber 1,,,,,7,,
,"Silverberg, Robert",Thorns,1967,,,,,,7,,
,"Tubb, E.C.",Dumarest I: The Winds of Gath,1967,,,,BOX X,,,,
,"Vance, Jack",The Last Castle,1967,,,,,,5,,
,"Zelazny, Roger",Lord of Light,1967,,,,BOB 3,Oct-17,8,,
,,,,,,,,,,,
,"Brunner, John",Stand on Zanzibar,1968,,TIE,Jun-98,Red BOB,Aug-18,9,,
,"Dickinson, Peter",The Weathermonger,1968,,,,BOB PULP,,,,
,"Disch, Thomas M.",Camp Concentration,1968,,,,BOX K,Apr-20,8,,
,"Moorcock, Michael",The Final Programme,1968,,,,,,6,,
,"Panshin, Alexei",Rite of Passage,1968,,,,BOB 7,,,,
,"Roberts, Keith",Pavane,1968,,,,BOB 9,,,,
,"Russ, Joanna",Picnic on Paradise,1968,,,,BOB 7,,,,
,"Silverberg, Robert",Hawksbill Station,1968,,,,BOB 1,,8,,
,"Strugatsky, A & B",Far Rainbow / 2nd Invasion from Mars,1968,,,,,,0,,
,,,,,,,,,,,
,"Aldiss, Brian",Barefoot in the Head,1969,,,,,,3,,
,"Anthony, Piers",Macroscope,1969,,,,BEER BOX,,,,
,"Brunner, John",The Jagged Orbit,1969,,,,BOX 1,Jul-15,7,,
,"Carter, Angela",Heroes and Villains,1969,,,,BOB X,,,,
,"Dick, Philip K.",Ubik,1969,,,,,,8,,
,"Lanier, Sterling",War for the Lot,1969,,,,,,,,
,"le Guin, Ursula",The Left Hand of Darkness,1969,,,,,,6,,
,"Silverberg, Robert",Nightwings,1969,,,,,,5,,
,"Spinrad, Norman",Bug Jack Barron,1969,,,,BOX 6,,,,
,"Vonnegut, Kurt",Slaughterhouse-Five,1969,,,,,,8,,
,,,,,,,,,,,
1970's,,,,,,,,,,,
,"Ballard, J.G.",The Atrocity Exhibition,1970,,,,,,,,0.55
,"Kosinski, Jerzy",Being There,1970,,,,BOX 9,,,,
,"Levin, Ira",This Perfect Day,1970,,,,CUBE 2,,,,
,"Neville, Kris",Bettyann,1970,,,,BOB 3,Aug-17,8,,
,"Niven, Larry",Ringworld,1970,,,,,,7,,
,"Platt, Charles",The City Dwellers,1970,,,,BOB 9,,,,
,"Silverberg, Robert",Downward to the Earth,1970,,,,,,10,,
,"Silverberg, Robert",Tower of Glass,1970,,,,,,7,,
,"Sladek, John",The Muller-Fokker Effect,1970,,,,BOB 7,,,,
,"Zelazny, Roger",Nine Princes in Amber,1970,,,,,,8,,
,,,,,,,,,,,
,"Bass, T.J.",Half Past Human,1971,,TIE,Jul-98,BEER BOX,Mar-17,7,,
,"Dick, Philip K.",A Maze of Death,1971,,,,,,9,,
,"Dickson, Gordon R.",The Tactics of Mistake,1971,,,,,,7,,
,"Farmer, Philip Jose",To Your Scattered Bodies Go,1971,River 1,,,,,9,,
,"Harrison, M. John",The Committed Men,1971,,,,BOX K,Apr-20,7,,
,"Lem, Stanislaw",The Futurological Congess,1971,,,,BEANS 1,,0,,
,"Moorcock, Michael",A Cure for Cancer,1971,,,,,,5,,
,"Silverberg, Robert",A Time of Changes,1971,,,,,,8,,
,,,,,,,,,,,
,"Asimov, Isaac",The Gods Themselves,1972,,,,,,7,,
,"Brunner, John",The Sheep Look Up,1972,,,,RED BOB,Aug-18,8,,
,"Calvino, Italo",Invisible Cities,1972,,,,CUBE 2,,,,
,"Disch, Thomas M.",334,1972,,,,BOB 3,,9,,
,"Malzberg, Barry N.",Beyond Apollo,1972,,,,,,8,,
,"Moorcock, Michael",An Alien Heat,1972,Dancers 1,,,BOB XI,,,,
,"Shaw, Bob","Other Days, Other Eyes",1972,,,,,,7,,
,"Silverberg, Robert",Dying Inside,1972,,,,,,10,,
,"Spinrad, Norman",The Iron Dream,1972,,,,EGGO 1,,,,
,"Wolfe, Gene",The Fifth Head of Cerberus,1972,,2nd read,,WOLFE BOX,Mar-20,9,,
,,,,,,,,,,,
,"Aldiss, Brian",Frankenstein Unbound,1973,,,,,,7,,
,"Ballard, J.G.",Crash,1973,,,,,,6,,
,"Clarke, Arthur C.",Rendevous with Rama,1973,,,,BOB 3,Oct-17,7,,
,"Heinlein, Robert A.",Time Enough for Love,1973,,,,BOB 9,,,,
,"Komatsu, Sakyo",Japan Sinks,1973,,,,ASU,,8,,
,"Lanier, Sterling",Hiero's Journey,1973,,,,ZIP BOX 1,,,,
,"Malzberg, Barry N.",Herovit's World,1973,,,,,,8,,
,"Niven, Larry",Protector,1973,,,,EGGO 3,,,,
