,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,
,,,,,,,,The Planet of No Return
,"Delany, Samuel R.",Dhalgren,1975,,SFE,Jul-98,BS,
,,,,,,,,
,"Budrys, Algis",The Amsirs and the Iron Thorn,1967,,SFE,Jul-15,GRN 1,
,"Bujold, Lois McMaster",Cryoburn,2010,Vor 15,auth,Jul-98,GRN 1,
,"Griffith, Nicola",Ammonite,1993,,101,Aug-13,GRN 1,
,"Gunn, James E.",This Fortress World,1955,,AQ Rev,Aug-14,GRN 1,
,"Haldeman, Joe",Camouflage,2004,,auth,Feb-17,GRN 1,
,"Harrison, Harry",The Planet of No Return,1981,PotD 2,ser,Aug-16,GRN 1,
,"Holdstock, Robert",Where Time Winds Blow,1981,,TIE,Jul-98,GRN 1,
,"King, Stephen",The Colorado Kid,2005,,HCC,Feb-17,GRN 1,
,"Martin, George RR / Tuttle",Windhaven,1981,,Harris,Aug-13,GRN 1,
,"Novik, Naomi",His Majesty's Dragon,2006,,101,Aug-13,GRN 1,
,"Shaw, Bob",The Ragged Astronauts,1986,RA 1,auth,Aug-13,GRN 1,
,"Shaw, Bob",The Wooden Spaceships,1987,RA 2,auth,Aug-13,GRN 1,
,"Shaw, Bob",The Fugitive Worlds,1989,RA 3,auth,Aug-13,GRN 1,
,"Silverberg, Robert",To the Land of the Living,1989,Gilg 2,auth,Jun-17,GRN 1,
,"Spinrad, Norman",Agent of Chaos,1967,,Obs?,Oct-13,GRN 1,
,"Tucker, Wilson",The Lincoln Hunters,1968,Ace SF 1,SFE,Aug-13,GRN 1,
,,,,,,,,
,"Anderson, Chester",The Butterfly Kid,1967,,hugo,Feb-21,BOB XXI,
,"Anderson, Poul",Twilight World,1961,ss,auth,May-21,BOB XXI,
,"Bishop, Michael",Close Encounters with the Deity,1986,ss,auth,May-17,BOB XXI,
,"Fitzgerald, F. Scott",The Great Gatsby,1925,,2nd att,May-21,BOB XXI,
,"Piserchia, Doris",Star Rider,1974,,bradfield,Jun-20,BOB XXI,
,"Schenck, Hilbert",Wave Rider,1980,,odd sf,Aug-14,BOB XXI,
,"Sheckley, Robert",Shards of Space,1962,ss,auth,May-21,BOB XXI,
,"Sheckley, Robert",The People Trap,1968,ss,sf rum,Jul-13,BOB XXI,
,"Shaw, Bob",Who Goes Here?,1986,Warren 1,auth,May-21,BOB XXI,
,,,,,,,,
,"Austen, Jane",Sense and Sensibility,1811,,lit,Jul-21,BOX 3,
,"Cheever, John",Bullet Park,1969,,lit,Jul-21,BOX 3,
,"Greenland, Colin",Take Back Plenty,1990,,TIE,Jul-98,BOX 3,
,"Haldeman, Joe",All My Sins Remembered,1979,,TIE,Jul-98,BOX 3,
,"Haldeman, Joe",Worlds,1981,Worlds 1,TIE,Jul-98,BOX 3,
,"Haldeman, Joe",Forever Peace,1997,,TIE,Jul-98,BOX 3,
,"Lem, Stanislaw",His Master's Voice,1968,,TIE,Jul-98,BOX 3,
,"Turner, George",Drowning Towers (The Sea and Summer),1988,,sf potp,Aug-13,BOX 3,
,"Watson, Ian",The Embedding,1973,,Pringle,Jan-01,BOX 3,
,"Watson, Ian",The Jonah Kit,1976,,TIE,Jul-98,BOX 3,
,"White, James",Major Operation,1971,SG 3,ser,Nov-99,BOX 3,
,"White, James",Ambulance Ship,1973,SG 4,ser,Nov-99,BOX 3,
,"White, James",Futures Past,1982,ss,auth,Nov-99,BOX 3,
,"White, James",Star Healer,1984,SG 5,ser,Nov-99,BOX 3,
,"White, James",Code Blue Emergency,1987,SG 6,ser,Nov-99,BOX 3,
,"White, James",Federation World,1988,SG 8,ser,Nov-99,BOX 3,
,"White, James",The Galactic Gourmet,1996,SG 9,ser,Nov-99,BOX 3,
,"White, James",Final Diagnosis,1997,SG 10,ser,Nov-99,BOX 3,
,"White, James",Mind Changer,1998,SG 11,ser,Nov-99,BOX 3,
,"White, James",Double Contact,1999,SG 12,ser,Nov-99,BOX 3,
,,,,,,,,
,"Hodgson, William Hope","The Boats of the ""Glen Carrig""",1907,,Zebrowski,Jul-15,kindle,
,"Brunner, John",The Avengers of Carrig,1969,,sf potp,Aug-14,BOB 5,
,"Christopher, John",The White Mountains,1967,Tripods 1,Barlowe,Jul-98,BOB 5,
,"Christopher, John",The City of Gold and Lead,1967,Tripods 2,Barlowe,Jul-98,BOB 5,
,"Christopher, John",The Pool of Fire,1968,Tripods 3,Barlowe,Jul-98,BOB 5,
,"Compton, D.G.","Farewell, Earth's Bliss",1966,,sf rum,Jul-13,BOB 5,
,"Dickson, Gordon",Spacial Delivery,1961,bears 1,Barlowe,Jul-98,BOB 5,
,"Dickson, Gordon",Spacepaw,1969,bears 2,Barlowe,Jul-98,BOB 5,
,"Effinger, George Alec",The Exile Kiss,1991,Marid 3,Ellison,Jan-14,BOB 5,
,"Ford, John M.",How Much for Just the Planet?,1987,tie-in,rare,Jul-21,BOB 5,
,"Herbert, Frank",The Dosadi Experiment,1977,McKie 2,Barlowe,Jan-14,BOB 5,
,"Herbert, Frank",Heretics of Dune,1984,Dune 5,auth,Jan-14,BOB 5,
,"Kipling, Rudyard",The Mark of the Beast,1964,ss,auth,Jul-21,BOB 5,
,"Koestler, Arthur",Darkness at Noon,1941,,lit,Jan-14,BOB 5,
,"Oliver, Chad",Shadows in the Sun,1954,,Zebrowski,Jul-98,BOB 5,
,"Reed, Kit",Armed Camps,1969,,sf rum,Aug-14,BOB 5,
,"Vance, Jack",Emphyrio,1969,,odd sf,Jan-14,BOB 5,
,,,,,,,,
,"Asimov, Isaac",Words From History,1968,Words 6,AI NF,Jun-21,2021 BOX,
,"Asimov, Isaac",A Choice of Catastrophies,1979,,AI NF,Mar-21,2021 BOX,
,"Asimov, Isaac",In the Beginning: Science Faces God in the Book of Genesis,1981,,AI NF,Jan-21,2021 BOX,
,"Asimov, Isaac",Beginnings,1987,coll,AI NF,Dec-16,2021 BOX,
,"Capek, Karol",RUR,1921,,Harris,Jul-15,2021 BOX,
,"Card, Orson Scott",Songmaster,1980,,TIE,Jul-98,2021 BOX,
,"Clarke, Arthur C.",The Fountains of Paradise,1979,,TIE,Jul-98,2021 BOX,
,"Davies, Robertson",The Rebel Angels,1982,,burgess,Aug-17,2021 BOX,
,"Forward, Robert",Dragon's Egg,1980,,TIE,Jul-98,2021 BOX,
,"Jablokov, Alexander",A Deeper Sea,1992,,TIE,Jul-98,2021 BOX,
,"Lessing, Doris",The Golden Notebook,1962,,burgess,Aug-17,2021 BOX,
,"Maxwell, William",They Came Like Swallows,1937,,plague,Feb-21,2021 BOX,
,"Sillitoe, Alan",Saturday Night and Sunday Morning,1958,,cult,Aug-17,2021 BOX,
,"Westlake, Donald",Castle In the Air,1980,,HCC,Mar-17,2021 BOX,
,,,,,,,,
,"Asimov, Isaac","Science, Numbers and I",1968,FSF 6,AI NF,Dec-16,BOB XIV,
,"Asimov, Isaac",Asimov on Numbers,1976,FSF 13,AI NF,Jul-16,BOB XIV,
,"Asimov, Isaac",Asimov on Physics,1976,FSF 15,AI NF,Dec-16,BOB XIV,
,"Asimov, Isaac",Life and Time,1978,coll,AI NF,Dec-16,BOB XIV,
,"Bloch, Robert",Bogey Men,1963,ss,B-task,Dec-16,BOB XIV,
,"Bradbury, Ray",Farewell Summer,2006,wine 2,wauk,Dec-16,BOB XIV,
,"Brunner, John",The Atlantic Abomination,1960,,SFE,Jul-15,BOB XIV,
,"Brunner, John",The Crucible of Time,1983,,Harris,Jul-15,BOB XIV,
,"Brunner, John",The Best of John Brunner,1988,Ballantine,auth,Jul-98,BOB XIV,
,"Bujold, Lois McMaster",Borders of Infinity,1989,Vor 6,auth,Jul-98,BOB XIV,
,"Bujold, Lois McMaster",Diplomatic Immunity,2003,Vor 14,auth,Jul-98,BOB XIV,
,"Fisher, Vardis",Tale of Valor,1960,,auth,Jun-07,BOB XIV,
,"van Vogt, A. E.",The Best of A.E. van Vogt,1976,Pocket,auth,Jul-98,BOB XIV,
,,,,,,,,
,"Anderson, Poul",The Stars are Also Fire,1994,Harvest 2,TIE,Jul-98,SA BOX,
,"Anderson, Poul",War of the Gods,1997,,auth,Jan-17,SA BOX,
,"Benford, Gregory",Against Infinity,1983,,Harris,Aug-13,SA BOX,
,"Blakeney, Jay D.",The Children of Anthi,1985,Anthi 1,Obs?,Oct-13,SA BOX,
,"Bradbury, Ray",The Wonderful Ice Cream Suit and Other Plays,1972,coll,auth,Jan-17,SA BOX,
,"Bradley, Marion Zimmer",The Planet Savers,1962,,Harris,Jul-15,SA BOX,
,"Compton, D.G.",The Silent Multitude,1969,Ace SF 1,ace,Sep-16,SA BOX,
,"DeLillo, Don",Mao II,1991,,lit,Jun-98,SA BOX,
,"Effinger, George Alec",A Fire in the Sun,1990,Marid 2,sf potp,Jun-15,SA BOX,
,"Fisher, Vardis",The Divine Passion,1948,TToM 5,haul,Aug-14,SA BOX,
,"Fisher, Vardis",The Valley of Vision,1951,TToM 6,haul,Aug-14,SA BOX,
,"Foster, Alan Dean",Aliens,1986,Alien 2,sf potp,Aug-14,SA BOX,
,"Green, Joseph",Conscience Interplanetary,1974,,Barlowe,Jul-15,SA BOX,
,"Haldeman, Joe",The Forever War,1975,,TIE,Jul-15,SA BOX,
,"Haldeman, Joe",1968,1995,,auth,Jan-00,SA BOX,
,"Heaney, Seamus",Beowulf,2000,,lit,Jan-00,SA BOX,
,"Heinlein, Robert A.",Beyond this Horizon,1948,,auth,Jul-15,SA BOX,
,"Heinlein, Robert A.",Revolt in 2100,1953,FH 4,auth,Jul-15,SA BOX,
,"Heinlein, Robert A.",Time For the Stars,1956,Juv,auth,Jul-15,SA BOX,
,"Heinlein, Robert A.",The Menace from Earth,1959,ss,auth,Jul-15,SA BOX,
,"Herbert, Frank",The Santaroga Barrier,1968,,Harris,Jul-15,SA BOX,
,"Herbert, Frank",The Godmakers,1972,,sf rum,Jul-13,SA BOX,
,"Herbert, Frank",God Emporer of Dune,1981,Dune 4,auth,Jul-15,SA BOX,
,"Klein, Gerard",Starmaster's Gambit,1958,,haul,Aug-14,SA BOX,
,"Klein, Gerard",The Mote in Time's Eye,1965,,haul,Aug-14,SA BOX,
,"Klein, Gerard",The Overlords of War,1971,,haul,Aug-14,SA BOX,
,"Knight, Damon",The Best of Damon Knight,1976,Pocket,ser,Apr-18,SA BOX,
,"Lee, Tanith",The Silver Metal Lover,1981,,Harris,Aug-13,SA BOX,
,"Meredith, Richard C.",We All Died at Breakaway Station,1969,,haul,Aug-14,SA BOX,
,"Meredith, Richard C.",The Sky is Filled with Ships,1969,,haul,Aug-14,SA BOX,
,"Scholz, C. / G. Harcourt",Palimpsests,1984,Ace SF 3,ace,Jul-16,SA BOX,
,"Shaw, Bob",Dagger of the Mind,1979,,auth,May-15,SA BOX,
,"Sheckley, Robert",Dimension of Miracles,1968,,sf potp,Aug-13,SA BOX,
,"Silverberg, Robert",The Face of the Waters,1991,,TIE,Jul-98,SA BOX,
,"Silverberg, Robert",The Masks of Time,1968,,2nd read,Jul-15,SA BOX,
,"Silverberg, Robert",Downward to the Earth,1970,,2nd read,Jul-15,SA BOX,
,"Simak, Clifford",Why Call Them Back from Heaven?,1967,Ace SF 1,sf rum,Jul-13,SA BOX,
,"Simak, Clifford",Time and Again,1951,,Harris,Jul-15,SA BOX,
,"Simak, Clifford",Best Science Fiction Stories of Clifford Simak,1967,ss,auth,Jan-00,SA BOX,
,"Sladek, John",The Best of John Sladek,1975,ss,Pocket,Oct-14,SA BOX,
,"Turner, George",Brain Child,1991,,SFE,Jun-15,SA BOX,
,"Westlake, Donald",Backflash,1998,Parker 18,ser,May-17,SA BOX,
,"Westlake, Donald",Breakout,2001,Parker 21,iverson,May-17,SA BOX,
,"Wilhelm, Kate",Somerset Dreams,1978,ss,auth,Jun-15,SA BOX,
,"Wilhelm, Kate",Death Qualified,1991,,TIE,Jul-98,SA BOX,
,"Williamson, Jack",Manseed,1982,,SFE,Aug-16,SA BOX,
,,,,,,,,
,"Amis, Kingsley",Lucky Jim,1954,,2nd read,Jun-17,BOB PULP,
,"Amis, Kingsley",Ending Up,1974,,auth,Dec-17,BOB PULP,
,"Amis, Kingsley",The Russian Girl,1992,,auth,May-18,BOB PULP,
,"Brunner, John",Players at the Game of People,1980,,auth,Jun-18,BOB PULP,
,"Burgess, Anthony",One Hand Clapping,1961,,lit,Jun-18,BOB PULP,
,"Chaze, Elliott",Black Wings Has My Angel,1954,,yellowed,Jan-18,BOB PULP,
,"Dent, Lester",Honey in His Mouth,2009,,HCC,Nov-18,BOB PULP,
,"Dickinson, Phil",The Weathermonger,1968,,TIE,Jul-98,BOB PULP,
,"Gardner, Earle Stanley",The Knife Slipped,1939,Cool Lam 2,HCC,Nov-16,BOB PULP,
,"Gardner, Earle Stanley",Turn On the Heat,1940,Cool Lam 3,HCC,Mar-17,BOB PULP,
,"Gardner, Earle Stanley",The Count of 9,1958,Cool Lam 19,HCC,Jan-18,BOB PULP,
,"Gardner, Earle Stanley",Shills Can't Cash Chips,1961,Cool Lam 23,HCC,Mar-20,BOB PULP,
,"Hall, Oakley",So Many Doors,1950,,HCC,Apr-18,BOB PULP,
,"King, Stephen",Later,2021,,HCC,Aug-20,BOB PULP,
,"Lewis, Bernard",What Went Wrong?,2002,,obit,Jun-18,BOB PULP,
,"Leiber, Fritz",The Green Millenium,1953,,auth,Jun-18,BOB PULP,
,"Lem, Stanislaw",Memoirs Found in a Bathtub,1961,,auth,Jun-18,BOB PULP,
,"Malzberg, Barry N.",Fire,1968,,auth,Apr-21,BOB PULP,
,"Malzberg, Barry N.",Machine,1969,,auth,Apr-21,BOB PULP,
,"McDonald, Gregory",Snatched,1978,Snatch 1,HCC,Feb-17,BOB PULP,
,"McDonald, Gregory",Safekeeping,1985,Snatch 2,HCC,Feb-17,BOB PULP,
,"Rabe, Peter",A Shroud for Jesso,1955,,westlake,Nov-17,BOB PULP,
,"Rabe, Peter",Anatomy of a Killer,1960,,westlake,Nov-17,BOB PULP,
,"Simak, Clifford",Worlds Without End,1964,ss,auth,Jun-18,BOB PULP,
,"Simak, Clifford",Project Pope,1981,,auth,Jun-18,BOB PULP,
,"Tall, Stephen",The People Beyond the Wall,1980,,schlock,May-17,BOB PULP,
,"Westlake, Donald",Deadly Edge,1971,Parker 13,ser,Mar-18,BOB PULP,
,"Westlake, Donald",Slayground,1971,Parker 14,ser,Mar-18,BOB PULP,
,"Westlake, Donald",Plunder Squad,1972,Parker 15,ser,Mar-18,BOB PULP,
,"Westlake, Donald","Help, I Am Being Held Prisoner",1974,,HCC,Mar-17,BOB PULP,
,"Westlake, Donald",Butcher's Moon,1974,Parker 16,ser,Mar-18,BOB PULP,
,"Westlake, Donald",Brothers Keepers,1975,,iverson,Mar-17,BOB PULP,
,"Westlake, Donald",Don't Ask,1993,Dort 8,ser,Oct-17,BOB PULP,
,"Westlake, Donald",Dirty Money,2008,Parker 24,iverson,May-17,BOB PULP,
,"Westlake, Donald",Memory,2010,,HCC,Nov-16,BOB PULP,
,"Westlake, Donald",Forever and a Death,2017,,HCC,Mar-17,BOB PULP,
,"Westlake, Donald",I Know a Trick Worth Two of That,1986,Holt 2,ser,Aug-18,BOB PULP,
,"Westlake, Donald",What I Tell You Three Times Is False,1987,Holt 3,ser,Aug-18,BOB PULP,
,"Westlake, Donald",The Fourth Dimension Is Death,1989,Holt 4,ser,Aug-18,BOB PULP,
,"Willeford, Charles",The Woman Chaser,1960,,noir,Nov-16,BOB PULP,
,"Willeford, Charles",Understudy for Death,1961,,HCC,Jan-18,BOB PULP,
,"Willeford, Charles",Cockfighter,1962,,BLiz,Sep-17,BOB PULP,
,"Willeford, Charles",The Machine in Ward Eleven,1963,ss,noir,Mar-18,BOB PULP,
,"Willeford, Charles",The Burnt-Orange Heresy,1971,,GBird,Nov-16,BOB PULP,
,"Williams, Charles (US)",The Sailcloth Shroud,1960,,auth,Nov-21,BOB PULP,
,"Williams, Charles (US)",Concrete Flamingo,1958,,auth,Jul-18,BOB PULP,
,"Williamson, J. & F. Pohl",The Reefs of Space,1964,Starchild 1,auth,Oct-18,BOB PULP,
,"Williamson, J. & F. Pohl",Starchild,1965,Starchild 2,auth,Oct-18,BOB PULP,
,"Williamson, J. & F. Pohl",Rogue Star,1969,Starchild 3,auth,Oct-18,BOB PULP,
,,,,,,,,
,"Bishop, Michael","Philip K. Dick is Dead, Alas",1988,,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",Eye in the Sky,1957,,sffaudio,Jul-98,PKD BOX,
,"Dick, Philip K.",The Man in the High Castle,1962,,2nd att,Aug-14,PKD BOX,
,"Dick, Philip K.",The Game-Players of Titan,1963,,sffaudio,Jul-98,PKD BOX,
,"Dick, Philip K.",Martian Time-Slip,1964,,sffaudio,Jul-98,PKD BOX,
,"Dick, Philip K.",The Three Stigmata of Palmer Eldritch,1964,simult 3,2nd att,Aug-14,PKD BOX,
,"Dick, Philip K.",Counter-Clock World,1967,,auth,Aug-14,PKD BOX,
,"Dick, Philip K.",Do Androids Dream of Electric Sheep?,1968,,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",Ubik,1969,,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",Our Friends from Frolix-8,1970,,sffaudio,Jan-17,PKD BOX,
,"Dick, Philip K.",We Can Build You,1972,,TIE,Aug-14,PKD BOX,
,"Dick, Philip K.","Flow My Tears, the Policeman Said",1974,,2nd att,Aug-14,PKD BOX,
,"Dick, Philip K.",Confessions of a Crap Artist,1975,,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",Valis,1981,Valis 1,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",The Divine Invasion,1981,Valis 2,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",The Transmigration of Timothy Archer,1982,Valis 3,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",The Man Whose Teeth Were All Exactly Alike,1984,,SFE,Aug-14,BS,
,"Dick, Philip K.",Radio Free Albemuth,1985,,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",Puttering About in a Small Land,1985,,2nd att,Dec-00,PKD BOX,
,"Dick, Philip K.",The Dark-Haired Girl,1988,coll,auth,Dec-00,PKD BOX,
,"Dick, Philip K.",The Shifting Realities of Philip K. Dick,1995,coll,auth,Jul-98,PKD BOX,
,"Dick, Philip K.",What If Our World Is Their Heaven?,2000,coll,auth,Dec-00,PKD BOX,
,"Dick, Philip K.",Gather Yourselves Together,2012,,auth,Jan-18,PKD BOX,
,,,,,,,,
,"Calvino, Italo",Invisible Cities,1972,,TIE,Jun-98,CUBE 2,
,"Doctorow, E.L.",Ragtime,1974,,lit,Jun-00,CUBE 2,
,"Erickson, Steve",Arc d'X,1993,,SFE,Jun-01,CUBE 2,
,"Farmer, Philip Jose",The Grand Adventure,1984,ss,SFE,Jun-98,CUBE 2,
,"Kavan, Anna",Let Me Alone,1930,,aldiss,Sep-14,CUBE 2,
,"Kavan, Anna",A Scarcity of Love,1956,,aldiss,Sep-14,CUBE 2,
,"Levin, Ira",This Perfect Day,1970,,TIE,Jun-98,CUBE 2,
,"Peake, Mervyn",Titus Groan,1946,GG 1,moorcock,Jul-98,CUBE 2,
,"Peake, Mervyn",Gormenghast,1950,GG 2,moorcock,Jul-98,CUBE 2,
,"Peake, Mervyn",Titus Alone,1959,GG 3,moorcock,Jul-98,CUBE 2,
,"Stapledon, Olaf",Last and First Men,1931,,aldiss,Sep-14,CUBE 2,
,"Stapledon, Olaf",Star Maker,1937,,aldiss,Sep-14,CUBE 2,
,"Yefremov, Ivan",Andromeda,1958,,TIE,Jun-98,CUBE 2,
,,,,,,,,
,"Aldiss, Brian",Helliconia Spring,1982,Hellic 1,TIE,Jul-98,BOB 6,
